model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Strategic (f*_s),1.0,-0.6074955463409424,"[2.0, 2.0, 2.0, 2.0, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158]","[0.8844971656799316, 0.03699805587530136, 0.16458402574062347, 0.2826877236366272, 0.012609506025910378, 0.05560858175158501, -0.03181546926498413, 0.22384710609912872]",379,89,0.23482849604221637
Strat-Imp-Aware (f*_imp),1.0,-0.5108883380889893,"[2.0, 2.0, 2.0, 2.0, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158]","[0.9542785882949829, 0.02261001244187355, 0.12438356876373291, 0.3246660828590393, 0.056998904794454575, -0.01761273853480816, 0.053028952330350876, 0.19265300035476685]",372,96,0.25806451612903225
Optimal Linear classifier (f*),1.0,-0.14542895555496216,"[2.0, 2.0, 2.0, 2.0, 2.700000047683716, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158]","[0.9054892063140869, 0.040777821093797684, 0.15635670721530914, 0.28518274426460266, 0.016025397926568985, 0.05271977186203003, -0.02610725350677967, 0.21677666902542114]",569,144,0.2530755711775044
Strategic (f*_s),1.0,-0.6074955463409424,"[2.0, 2.0, 2.0, 2.0, 2.700000047683716, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158]","[0.8844971656799316, 0.03699805587530136, 0.16458402574062347, 0.2826877236366272, 0.012609506025910378, 0.05560858175158501, -0.03181546926498413, 0.22384710609912872]",379,89,0.23482849604221637
Strat-Imp-Aware (f*_imp),1.0,-0.5108883380889893,"[2.0, 2.0, 2.0, 2.0, 2.700000047683716, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158]","[0.9542785882949829, 0.02261001244187355, 0.12438356876373291, 0.3246660828590393, 0.056998904794454575, -0.01761273853480816, 0.053028952330350876, 0.19265300035476685]",372,96,0.25806451612903225
Optimal Linear classifier (f*),1.0,-0.14542895555496216,"[2.0, 2.0, 2.0, 2.0, 3.0, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158]","[0.9054892063140869, 0.040777821093797684, 0.15635670721530914, 0.28518274426460266, 0.016025397926568985, 0.05271977186203003, -0.02610725350677967, 0.21677666902542114]",569,144,0.2530755711775044
Strategic (f*_s),1.0,-0.6074955463409424,"[2.0, 2.0, 2.0, 2.0, 3.0, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158]","[0.8844971656799316, 0.03699805587530136, 0.16458402574062347, 0.2826877236366272, 0.012609506025910378, 0.05560858175158501, -0.03181546926498413, 0.22384710609912872]",379,89,0.23482849604221637
Strat-Imp-Aware (f*_imp),1.0,-0.5108883380889893,"[2.0, 2.0, 2.0, 2.0, 3.0, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158]","[0.9542785882949829, 0.02261001244187355, 0.12438356876373291, 0.3246660828590393, 0.056998904794454575, -0.01761273853480816, 0.053028952330350876, 0.19265300035476685]",372,96,0.25806451612903225
Optimal Linear classifier (f*),1.0,-0.14542895555496216,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.9054892063140869, 0.040777821093797684, 0.15635670721530914, 0.28518274426460266, 0.016025397926568985, 0.05271977186203003, -0.02610725350677967, 0.21677666902542114]",1138,350,0.30755711775043937
Strategic (f*_s),1.0,-1.2895439863204956,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.8718267679214478, 0.03437529131770134, 0.1832083910703659, 0.27378153800964355, 0.01629011519253254, 0.050987280905246735, -0.028182221576571465, 0.21698814630508423]",900,220,0.24444444444444444
